,_id,ltable_ID,rtable_ID,ltable_Album,ltable_Artist,ltable_Release Date,rtable_Album,rtable_Artist,rtable_Release Date
1433,1433,a2368,b1250,emily's d+evolution,esperanza spalding,Mar 4 2016,emily's d+evolution,esperanza spalding,Mar 4 2016
1434,1434,a2369,b1263,limitless,tonight alive,Mar 4 2016,limitless,tonight alive,Mar 4 2016
1435,1435,a2369,b2043,limitless,tonight alive,Mar 4 2016,limitless,nct 127,Jan 6 2017
1436,1436,a237,b3061,nightbringers,the black dahlia murder,Oct 6 2017,dark matters,the rasmus,Oct 6 2017
1437,1437,a2371,b1259,ouroboros,ray lamontagne,Mar 4 2016,ouroboros,ray lamontagne,Mar 4 2016
1438,1438,a2377,b1253,the rarity of experience,chris forsyth & the solar motel band,Mar 4 2016,55,the knocks,Mar 4 2016
1439,1439,a2377,b1258,the rarity of experience,chris forsyth & the solar motel band,Mar 4 2016,warrior sound,the qemists,Mar 4 2016
1440,1440,a2377,b1261,the rarity of experience,chris forsyth & the solar motel band,Mar 4 2016,fowl play,sister sparrow and the dirty birds,Mar 4 2016
1441,1441,a2377,b1262,the rarity of experience,chris forsyth & the solar motel band,Mar 4 2016,a man alive,thao & the get down stay down,Mar 4 2016
1442,1442,a2391,b1238,99 cents,santigold,Feb 26 2016,99¢,santigold,Feb 26 2016
1443,1443,a2392,b1240,in search of harperfield,emma pollock,Feb 26 2016,in the end his voice will be the sound of paper,trondheim jazz orchestra with kim myhr and jenny hval,Feb 26 2016
1444,1444,a2393,b1229,dig in deep,bonnie raitt,Feb 26 2016,dig in deep,bonnie raitt,Feb 26 2016
1445,1445,a2394,b1239,sviib,school of seven bells,Feb 26 2016,sviib,school of seven bells,Feb 26 2016
1446,1446,a2397,b1226,for all kings,anthrax,Feb 26 2016,for all kings,anthrax,Feb 26 2016
1447,1447,a2398,b1244,stranger things,yuck,Feb 26 2016,stranger things,yuck,Feb 26 2016
1448,1448,a240,b3051,i love you like a brother,alex lahey,Oct 6 2017,you make it feel like christmas,gwen stefani,Oct 6 2017
1449,1449,a2401,b1223,"i like it when you sleep, for you are so beautiful yet so unaware of it",the 1975,Feb 26 2016,"i like it when you sleep, for you are so beautiful yet so unaware of it",the 1975,Feb 26 2016
1450,1450,a2401,b1232,"i like it when you sleep, for you are so beautiful yet so unaware of it",the 1975,Feb 26 2016,2,the gloaming,Feb 26 2016
1451,1451,a2403,b1243,summertime: willie nelson sings gershwin,willie nelson,Feb 26 2016,summertime: willie nelson sings gershwin,willie nelson,Feb 26 2016
1452,1452,a2403,b1724,summertime: willie nelson sings gershwin,willie nelson,Feb 26 2016,for the good times: a tribute to ray price,willie nelson,Sep 16 2016
1453,1453,a2403,b2615,summertime: willie nelson sings gershwin,willie nelson,Feb 26 2016,god's problem child,willie nelson,Apr 28 2017
1454,1454,a2404,b1223,when you walk a long distance you are tired,mothers,Feb 26 2016,"i like it when you sleep, for you are so beautiful yet so unaware of it",the 1975,Feb 26 2016
1455,1455,a2405,b1228,george fest: a night to celebrate the music of george harrison [live],various artists,Feb 26 2016,nemesis: the best of & reworked,blutengel,Feb 26 2016
1456,1456,a2405,b1237,george fest: a night to celebrate the music of george harrison [live],various artists,Feb 26 2016,the art of loss,redemption,Feb 26 2016
1457,1457,a2405,b1240,george fest: a night to celebrate the music of george harrison [live],various artists,Feb 26 2016,in the end his voice will be the sound of paper,trondheim jazz orchestra with kim myhr and jenny hval,Feb 26 2016
1458,1458,a2405,b1752,george fest: a night to celebrate the music of george harrison [live],various artists,Feb 26 2016,trolls: original motion picture soundtrack,various artists,Sep 23 2016
1459,1459,a2405,b1953,george fest: a night to celebrate the music of george harrison [live],various artists,Feb 26 2016,christmas queens 2,various artists,Nov 11 2016
1460,1460,a2405,b2003,george fest: a night to celebrate the music of george harrison [live],various artists,Feb 26 2016,the hamilton mixtape,various artists,Dec 2 2016
1461,1461,a2405,b2108,george fest: a night to celebrate the music of george harrison [live],various artists,Feb 26 2016,"she rocks, vol. 1",various artists,Jan 20 2017
1462,1462,a2405,b2205,george fest: a night to celebrate the music of george harrison [live],various artists,Feb 26 2016,fifty shades darker: original motion picture soundtrack,various artists,Feb 10 2017
1463,1463,a2405,b2355,george fest: a night to celebrate the music of george harrison [live],various artists,Feb 26 2016,beauty and the beast: original motion picture soundtrack,various artists,Mar 10 2017
1464,1464,a2405,b2541,george fest: a night to celebrate the music of george harrison [live],various artists,Feb 26 2016,the fate of the furious: the album,various artists,Apr 14 2017
1465,1465,a2405,b2574,george fest: a night to celebrate the music of george harrison [live],various artists,Feb 26 2016,guardians of the galaxy vol. 2,various artists,Apr 21 2017
1466,1466,a2405,b2652,george fest: a night to celebrate the music of george harrison [live],various artists,Feb 26 2016,cover stories: brandi carlile celebrates 10 years of the story – an album to benefit war child,various artists,May 5 2017
1467,1467,a2405,b2892,george fest: a night to celebrate the music of george harrison [live],various artists,Feb 26 2016,punk goes pop vol. 7,various artists,Jul 14 2017
1468,1468,a2405,b301,george fest: a night to celebrate the music of george harrison [live],various artists,Feb 26 2016,"the hunger games: mockingjay, part 1 – original motion picture soundtrack",various artists,Nov 17 2014
1469,1469,a2405,b3178,george fest: a night to celebrate the music of george harrison [live],various artists,Feb 26 2016,quality control: control the streets volume 1,various artists,Dec 8 2017
1470,1470,a2405,b320,george fest: a night to celebrate the music of george harrison [live],various artists,Feb 26 2016,i'll be home for christmas,various artists,Nov 24 2014
1471,1471,a2405,b321,george fest: a night to celebrate the music of george harrison [live],various artists,Feb 26 2016,shady xv,various artists,Nov 24 2014
1472,1472,a2407,b1223,higher power,the dirty nil,Feb 26 2016,"i like it when you sleep, for you are so beautiful yet so unaware of it",the 1975,Feb 26 2016
1473,1473,a2407,b1232,higher power,the dirty nil,Feb 26 2016,2,the gloaming,Feb 26 2016
1474,1474,a2408,b1234,this unruly mess i've made,macklemore & ryan lewis,Feb 26 2016,this unruly mess i've made,macklemore & ryan lewis,Feb 26 2016
1475,1475,a2412,b1228,god don't never change: the songs of blind willie johnson,various artists,Feb 26 2016,nemesis: the best of & reworked,blutengel,Feb 26 2016
1476,1476,a2412,b1237,god don't never change: the songs of blind willie johnson,various artists,Feb 26 2016,the art of loss,redemption,Feb 26 2016
1477,1477,a2412,b1240,god don't never change: the songs of blind willie johnson,various artists,Feb 26 2016,in the end his voice will be the sound of paper,trondheim jazz orchestra with kim myhr and jenny hval,Feb 26 2016
1478,1478,a2412,b1752,god don't never change: the songs of blind willie johnson,various artists,Feb 26 2016,trolls: original motion picture soundtrack,various artists,Sep 23 2016
1479,1479,a2412,b1953,god don't never change: the songs of blind willie johnson,various artists,Feb 26 2016,christmas queens 2,various artists,Nov 11 2016
1480,1480,a2412,b2003,god don't never change: the songs of blind willie johnson,various artists,Feb 26 2016,the hamilton mixtape,various artists,Dec 2 2016
1481,1481,a2412,b2108,god don't never change: the songs of blind willie johnson,various artists,Feb 26 2016,"she rocks, vol. 1",various artists,Jan 20 2017
1482,1482,a2412,b2205,god don't never change: the songs of blind willie johnson,various artists,Feb 26 2016,fifty shades darker: original motion picture soundtrack,various artists,Feb 10 2017
1483,1483,a2412,b2355,god don't never change: the songs of blind willie johnson,various artists,Feb 26 2016,beauty and the beast: original motion picture soundtrack,various artists,Mar 10 2017
1484,1484,a2412,b2541,god don't never change: the songs of blind willie johnson,various artists,Feb 26 2016,the fate of the furious: the album,various artists,Apr 14 2017
1485,1485,a2412,b2574,god don't never change: the songs of blind willie johnson,various artists,Feb 26 2016,guardians of the galaxy vol. 2,various artists,Apr 21 2017
1486,1486,a2412,b2652,god don't never change: the songs of blind willie johnson,various artists,Feb 26 2016,cover stories: brandi carlile celebrates 10 years of the story – an album to benefit war child,various artists,May 5 2017
1487,1487,a2412,b2892,god don't never change: the songs of blind willie johnson,various artists,Feb 26 2016,punk goes pop vol. 7,various artists,Jul 14 2017
1488,1488,a2412,b301,god don't never change: the songs of blind willie johnson,various artists,Feb 26 2016,"the hunger games: mockingjay, part 1 – original motion picture soundtrack",various artists,Nov 17 2014
1489,1489,a2412,b3178,god don't never change: the songs of blind willie johnson,various artists,Feb 26 2016,quality control: control the streets volume 1,various artists,Dec 8 2017
1490,1490,a2412,b320,god don't never change: the songs of blind willie johnson,various artists,Feb 26 2016,i'll be home for christmas,various artists,Nov 24 2014
1491,1491,a2412,b321,god don't never change: the songs of blind willie johnson,various artists,Feb 26 2016,shady xv,various artists,Nov 24 2014
1492,1492,a2416,b1230,vroom vroom [ep],charli xcx,Feb 26 2016,vroom vroom,charli xcx,Feb 26 2016
1493,1493,a2416,b2329,vroom vroom [ep],charli xcx,Feb 26 2016,number 1 angel,charli xcx,Mar 10 2017
1494,1494,a2416,b3182,vroom vroom [ep],charli xcx,Feb 26 2016,pop 2,charli xcx,Dec 15 2017
1495,1495,a2416,b341,vroom vroom [ep],charli xcx,Feb 26 2016,sucker,charli xcx,Dec 15 2014
1496,1496,a2417,b1227,anvil is anvil,anvil,Feb 26 2016,anvil is anvil,anvil,Feb 26 2016
1497,1497,a2418,b1241,charlene,tweet,Feb 26 2016,charlene,tweet,Feb 26 2016
1498,1498,a2420,b1214,side pony,lake street dive,Feb 19 2016,side pony,lake street dive,Feb 19 2016
1499,1499,a2422,b1219,taking one for the team,simple plan,Feb 19 2016,taking one for the team,simple plan,Feb 19 2016
1500,1500,a2426,b1209,painting with,animal collective,Feb 19 2016,painting with,animal collective,Feb 19 2016
1501,1501,a2426,b2215,painting with,animal collective,Feb 19 2016,the painters,animal collective,Feb 17 2017
1502,1502,a2426,b2577,painting with,animal collective,Feb 19 2016,meeting of the waters,animal collective,Apr 22 2017
1503,1503,a2428,b1200,"yes, i'm a witch too",yoko ono,Feb 19 2016,"yes, i'm a witch too",yoko ono,Feb 12 2016
1504,1504,a2429,b1216,livin' on a high note,mavis staples,Feb 19 2016,livin' on a high note,mavis staples,Feb 19 2016
1505,1505,a2429,b3147,livin' on a high note,mavis staples,Feb 19 2016,if all i was was black,mavis staples,Nov 17 2017
1506,1506,a243,b3061,for sale: live at maxwell's 1986,the replacements,Oct 6 2017,dark matters,the rasmus,Oct 6 2017
1507,1507,a2434,b1221,victorious,wolfmother,Feb 19 2016,victorious,wolfmother,Feb 19 2016
1508,1508,a2436,b1212,phase,jack garratt,Feb 19 2016,phase,jack garratt,Feb 19 2016
1509,1509,a2438,b1217,need your light,ra ra riot,Feb 19 2016,need your light,ra ra riot,Feb 19 2016
1510,1510,a2440,b1207,banshee,the cave singers,Feb 19 2016,dig deep,after the burial,Feb 19 2016
1511,1511,a2440,b1210,banshee,the cave singers,Feb 19 2016,in my mind,bj the chicago kid,Feb 19 2016
1512,1512,a2440,b1211,banshee,the cave singers,Feb 19 2016,banshee,the cave singers,Feb 19 2016
1513,1513,a2440,b1220,banshee,the cave singers,Feb 19 2016,anyways,the starting line,Feb 19 2016
1514,1514,a2442,b1193,here be monsters,motorpsycho,Feb 19 2016,here be monsters,motorpsycho,Feb 12 2016
1515,1515,a2445,b1207,in my mind,bj the chicago kid,Feb 19 2016,dig deep,after the burial,Feb 19 2016
1516,1516,a2445,b1210,in my mind,bj the chicago kid,Feb 19 2016,in my mind,bj the chicago kid,Feb 19 2016
1517,1517,a2445,b1211,in my mind,bj the chicago kid,Feb 19 2016,banshee,the cave singers,Feb 19 2016
1518,1518,a2445,b1220,in my mind,bj the chicago kid,Feb 19 2016,anyways,the starting line,Feb 19 2016
1519,1519,a2448,b1222,the  art of hustle,yo gotti,Feb 19 2016,the art of hustle,yo gotti,Feb 19 2016
1520,1520,a2450,b1207,wise ol' man [ep],the fall,Feb 19 2016,dig deep,after the burial,Feb 19 2016
1521,1521,a2450,b1210,wise ol' man [ep],the fall,Feb 19 2016,in my mind,bj the chicago kid,Feb 19 2016
1522,1522,a2450,b1211,wise ol' man [ep],the fall,Feb 19 2016,banshee,the cave singers,Feb 19 2016
1523,1523,a2450,b1220,wise ol' man [ep],the fall,Feb 19 2016,anyways,the starting line,Feb 19 2016
1524,1524,a2450,b2911,wise ol' man [ep],the fall,Feb 19 2016,new facts emerge,the fall,Jul 28 2017
1525,1525,a2454,b1201,the life of pablo,kanye west,Feb 13 2016,the life of pablo,kanye west,Feb 14 2016
1526,1526,a2455,b1195,synesthetica,radiation city,Feb 12 2016,synesthetica,radiation city,Feb 12 2016
1527,1527,a2457,b1194,cardinal,pinegrove,Feb 12 2016,cardinal,pinegrove,Feb 12 2016
1528,1528,a2459,b1192,my wild west,lissie,Feb 12 2016,my wild west,lissie,Feb 12 2016
1529,1529,a2460,b1169,hidden city,the cult,Feb 12 2016,hidden city,the cult,Feb 5 2016
1530,1530,a2460,b1189,hidden city,the cult,Feb 12 2016,synthia,the jezabels,Feb 12 2016
1531,1531,a2460,b1198,hidden city,the cult,Feb 12 2016,the suffers,the suffers,Feb 12 2016
1532,1532,a2460,b1199,hidden city,the cult,Feb 12 2016,wynonna & the big noise,wynonna & the big noise,Feb 12 2016
1533,1533,a2461,b1189,fever daydream,the black queen,Feb 12 2016,synthia,the jezabels,Feb 12 2016
1534,1534,a2461,b1198,fever daydream,the black queen,Feb 12 2016,the suffers,the suffers,Feb 12 2016
1535,1535,a2461,b1199,fever daydream,the black queen,Feb 12 2016,wynonna & the big noise,wynonna & the big noise,Feb 12 2016
1536,1536,a2462,b1186,good advice,basia bulat,Feb 12 2016,good advice,basia bulat,Feb 12 2016
1537,1537,a2463,b1190,k 2.0,kula shaker,Feb 12 2016,k2.0,kula shaker,Feb 12 2016
1538,1538,a2468,b1189,wynonna & the big noise,wynonna & the big noise,Feb 12 2016,synthia,the jezabels,Feb 12 2016
1539,1539,a2468,b1198,wynonna & the big noise,wynonna & the big noise,Feb 12 2016,the suffers,the suffers,Feb 12 2016
1540,1540,a2468,b1199,wynonna & the big noise,wynonna & the big noise,Feb 12 2016,wynonna & the big noise,wynonna & the big noise,Feb 12 2016
1541,1541,a2469,b1189,skifflin',the skiffle players,Feb 12 2016,synthia,the jezabels,Feb 12 2016
1542,1542,a2469,b1198,skifflin',the skiffle players,Feb 12 2016,the suffers,the suffers,Feb 12 2016
1543,1543,a2469,b1199,skifflin',the skiffle players,Feb 12 2016,wynonna & the big noise,wynonna & the big noise,Feb 12 2016
1544,1544,a2470,b2226,evol,future,Feb 6 2016,future,future,Feb 17 2017
1545,1545,a2470,b2261,evol,future,Feb 6 2016,hndrxx,future,Feb 24 2017
1546,1546,a2470,b727,evol,future,Feb 6 2016,ds2,future,Jul 17 2015
1547,1547,a2473,b2828,i'm up [mixtape],young thug,Feb 5 2016,beautiful thugger girls,young thug,Jun 16 2017
1548,1548,a2473,b552,i'm up [mixtape],young thug,Feb 5 2016,barter 6,young thug,Apr 17 2015
1549,1549,a2475,b1179,the  ghosts of highway 20,lucinda williams,Feb 5 2016,the ghosts of highway 20,lucinda williams,Feb 5 2016
1550,1550,a2475,b175,the  ghosts of highway 20,lucinda williams,Feb 5 2016,down where the spirit meets the bone,lucinda williams,Sep 30 2014
1551,1551,a2477,b1170,is the is are,diiv,Feb 5 2016,is the is are,diiv,Feb 5 2016
1552,1552,a2478,b1173,commontime,field music,Feb 5 2016,commontime,field music,Feb 5 2016
1553,1553,a2479,b1171,wonderful crazy night,elton john,Feb 5 2016,wonderful crazy night,elton john,Feb 5 2016
1554,1554,a2485,b1176,big black coat,junior boys,Feb 5 2016,big black coat,junior boys,Feb 5 2016
1555,1555,a2489,b1175,all i need,foxes,Feb 5 2016,all i need,foxes,Feb 5 2016
1556,1556,a2491,b1169,hold on!,the james hunter six,Feb 5 2016,hidden city,the cult,Feb 5 2016
1557,1557,a2493,b1169,funs cool,the prettiots,Feb 5 2016,hidden city,the cult,Feb 5 2016
1558,1558,a2495,b1180,majid jordan,majid jordan,Feb 5 2016,majid jordan,majid jordan,Feb 5 2016
1559,1559,a2497,b1154,x: no absolutes,prong,Feb 5 2016,x (no absolutes),prong,Jan 29 2016
1560,1560,a2497,b2916,x: no absolutes,prong,Feb 5 2016,zero days,prong,Jul 28 2017
1561,1561,a2497,b505,x: no absolutes,prong,Feb 5 2016,songs from the black hole,prong,Mar 31 2015
1562,1562,a2498,b1185,khalifa,wiz khalifa,Feb 5 2016,khalifa,wiz khalifa,Feb 5 2016
1563,1563,a2498,b79,khalifa,wiz khalifa,Feb 5 2016,blacc hollywood,wiz khalifa,Aug 18 2014
1564,1564,a2500,b1172,opus,eric prydz,Feb 5 2016,opus,eric prydz,Feb 5 2016
1565,1565,a2501,b1178,begin,lion babe,Feb 5 2016,begin,lion babe,Feb 5 2016
1566,1566,a2504,b1078,out my feelings (in my past),boosie badazz,Feb 5 2016,in my feelings (goin' thru it),boosie badazz,Jan 1 2016
1567,1567,a2505,b1146,nine track mind,charlie puth,Jan 29 2016,nine track mind,charlie puth,Jan 29 2016
1568,1568,a2507,b1143,hymns,bloc party,Jan 29 2016,hymns,bloc party,Jan 29 2016
1569,1569,a2508,b1151,suicide songs,money,Jan 29 2016,suicide songs,money,Jan 29 2016
1570,1570,a2509,b1155,this is acting,sia,Jan 29 2016,this is acting,sia,Jan 29 2016
1571,1571,a2509,b12,this is acting,sia,Jan 29 2016,1000 forms of fear,sia,Jul 4 2014
1572,1572,a2509,b3151,this is acting,sia,Jan 29 2016,everyday is christmas,sia,Nov 17 2017
1573,1573,a2510,b1160,don't you,wet,Jan 29 2016,don't you,wet,Jan 29 2016
1574,1574,a2512,b1152,who sold my generation,night beats,Jan 29 2016,who sold my generation,night beats,Jan 29 2016
1575,1575,a2513,b1159,lost property,turin brakes,Jan 29 2016,lost property,turin brakes,Jan 29 2016
1576,1576,a2518,b1147,the astonishing,dream theater,Jan 29 2016,the astonishing,dream theater,Jan 29 2016
1577,1577,a2519,b1157,let me get by,tedeschi trucks band,Jan 29 2016,let me get by,tedeschi trucks band,Jan 29 2016
1578,1578,a2519,b2381,let me get by,tedeschi trucks band,Jan 29 2016,live from the fox oakland,tedeschi trucks band,Mar 17 2017
1579,1579,a2521,b1140,promise everything,basement,Jan 29 2016,promise everything,basement,Jan 29 2016
1580,1580,a2525,b1149,islah,kevin gates,Jan 29 2016,islah,kevin gates,Jan 29 2016
1581,1581,a2526,b1142,pillars of ash,black tusk,Jan 29 2016,pillars of ash,black tusk,Jan 29 2016
1582,1582,a2527,b1156,matter,st. lucia,Jan 29 2016,matter,st. lucia,Jan 29 2016
1583,1583,a2528,b1752,still in a dream: a story of shoegaze,various artists,Jan 29 2016,trolls: original motion picture soundtrack,various artists,Sep 23 2016
1584,1584,a2528,b1953,still in a dream: a story of shoegaze,various artists,Jan 29 2016,christmas queens 2,various artists,Nov 11 2016
1585,1585,a2528,b2003,still in a dream: a story of shoegaze,various artists,Jan 29 2016,the hamilton mixtape,various artists,Dec 2 2016
1586,1586,a2528,b2108,still in a dream: a story of shoegaze,various artists,Jan 29 2016,"she rocks, vol. 1",various artists,Jan 20 2017
1587,1587,a2528,b2205,still in a dream: a story of shoegaze,various artists,Jan 29 2016,fifty shades darker: original motion picture soundtrack,various artists,Feb 10 2017
1588,1588,a2528,b2355,still in a dream: a story of shoegaze,various artists,Jan 29 2016,beauty and the beast: original motion picture soundtrack,various artists,Mar 10 2017
1589,1589,a2528,b2541,still in a dream: a story of shoegaze,various artists,Jan 29 2016,the fate of the furious: the album,various artists,Apr 14 2017
1590,1590,a2528,b2574,still in a dream: a story of shoegaze,various artists,Jan 29 2016,guardians of the galaxy vol. 2,various artists,Apr 21 2017
1591,1591,a2528,b2652,still in a dream: a story of shoegaze,various artists,Jan 29 2016,cover stories: brandi carlile celebrates 10 years of the story – an album to benefit war child,various artists,May 5 2017
1592,1592,a2528,b2892,still in a dream: a story of shoegaze,various artists,Jan 29 2016,punk goes pop vol. 7,various artists,Jul 14 2017
1593,1593,a2528,b301,still in a dream: a story of shoegaze,various artists,Jan 29 2016,"the hunger games: mockingjay, part 1 – original motion picture soundtrack",various artists,Nov 17 2014
1594,1594,a2528,b3178,still in a dream: a story of shoegaze,various artists,Jan 29 2016,quality control: control the streets volume 1,various artists,Dec 8 2017
1595,1595,a2528,b320,still in a dream: a story of shoegaze,various artists,Jan 29 2016,i'll be home for christmas,various artists,Nov 24 2014
1596,1596,a2528,b321,still in a dream: a story of shoegaze,various artists,Jan 29 2016,shady xv,various artists,Nov 24 2014
1597,1597,a2532,b1135,anti,rihanna,Jan 28 2016,anti,rihanna,Jan 27 2016
1598,1598,a2533,b1136,ritual spirit [ep],massive attack,Jan 28 2016,ritual spirit,massive attack,Jan 28 2016
1599,1599,a2534,b1123,jet plane and oxbow,shearwater,Jan 22 2016,jet plane and oxbow,shearwater,Jan 22 2016
1600,1600,a2535,b1122,adore life,savages,Jan 22 2016,adore life,savages,Jan 22 2016
1601,1601,a2536,b1114,m:fans,john cale,Jan 22 2016,m:fans,john cale,Jan 22 2016
1602,1602,a2537,b1111,new view,eleanor friedberger,Jan 22 2016,new view,eleanor friedberger,Jan 22 2016
1603,1603,a2538,b1128,night thoughts,suede,Jan 22 2016,night thoughts,suede,Jan 22 2016
1604,1604,a2539,b1133,emotional mugger,ty segall,Jan 22 2016,emotional mugger,ty segall,Jan 22 2016
1605,1605,a2539,b2144,emotional mugger,ty segall,Jan 22 2016,ty segall,ty segall,Jan 27 2017
1606,1606,a2539,b97,emotional mugger,ty segall,Jan 22 2016,manipulator,ty segall,Aug 28 2014
1607,1607,a2540,b1131,the catastrophist,tortoise,Jan 22 2016,the catastrophist,tortoise,Jan 22 2016
1608,1608,a2541,b1130,the waiting room,tindersticks,Jan 22 2016,the waiting room,tindersticks,Jan 22 2016
1609,1609,a2542,b1105,each other,aidan knight,Jan 22 2016,each other,aidan knight,Jan 22 2016
1610,1610,a2544,b1106,a coliseum complex museum,the besnard lakes,Jan 22 2016,a coliseum complex museum,the besnard lakes,Jan 22 2016
1611,1611,a2544,b1118,a coliseum complex museum,the besnard lakes,Jan 22 2016,do nothing till you hear from me,the mute gods,Jan 22 2016
1612,1612,a2546,b1106,here come the rattling trees,the high llamas,Jan 22 2016,a coliseum complex museum,the besnard lakes,Jan 22 2016
1613,1613,a2546,b1118,here come the rattling trees,the high llamas,Jan 22 2016,do nothing till you hear from me,the mute gods,Jan 22 2016
1614,1614,a2547,b1134,atgclvlsscap,ulver,Jan 22 2016,atgclvlsscap,ulver,Jan 22 2016
1615,1615,a2547,b2518,atgclvlsscap,ulver,Jan 22 2016,the assassination of julius caesar,ulver,Apr 7 2017
1616,1616,a2548,b1110,original machines,conrad keely,Jan 22 2016,original machines,conrad keely,Jan 22 2016
1617,1617,a2549,b1117,dystopia,megadeth,Jan 22 2016,dystopia,megadeth,Jan 22 2016
1618,1618,a2550,b1108,moth,chairlift,Jan 22 2016,moth,chairlift,Jan 22 2016
1619,1619,a2555,b1106,white bear,the temperance movement,Jan 22 2016,a coliseum complex museum,the besnard lakes,Jan 22 2016
1620,1620,a2555,b1118,white bear,the temperance movement,Jan 22 2016,do nothing till you hear from me,the mute gods,Jan 22 2016
1621,1621,a2556,b1132,skilled mechanics,tricky,Jan 22 2016,skilled mechanics,tricky,Jan 22 2016
1622,1622,a2558,b1106,you're dreaming,the cactus blossoms,Jan 22 2016,a coliseum complex museum,the besnard lakes,Jan 22 2016
1623,1623,a2558,b1118,you're dreaming,the cactus blossoms,Jan 22 2016,do nothing till you hear from me,the mute gods,Jan 22 2016
1624,1624,a2559,b1104,something about april ii,adrian younge,Jan 22 2016,something about april ii,adrian younge,Jan 22 2016
1625,1625,a256,b3045,visions of a life,wolf alice,Sep 29 2017,visions of a life,wolf alice,Sep 29 2017
1626,1626,a256,b689,visions of a life,wolf alice,Sep 29 2017,my love is cool,wolf alice,Jun 22 2015
1627,1627,a2564,b1127,4 1/2,steven wilson,Jan 22 2016,4 ½,steven wilson,Jan 22 2016
1628,1628,a2564,b2950,4 1/2,steven wilson,Jan 22 2016,to the bone,steven wilson,Aug 18 2017
1629,1629,a2564,b446,4 1/2,steven wilson,Jan 22 2016,hand. cannot. erase.,steven wilson,Feb 27 2015
1630,1630,a2565,b1113,perfect,half japanese,Jan 22 2016,perfect,half japanese,Jan 22 2016
1631,1631,a2566,b1422,paradise,pop. 1280,Jan 22 2016,paradise,white lung,May 6 2016
1632,1632,a2566,b2365,paradise,pop. 1280,Jan 22 2016,paradise,anohni,Mar 17 2017
1633,1633,a2567,b1106,feed the fire,promise and the monster,Jan 22 2016,a coliseum complex museum,the besnard lakes,Jan 22 2016
1634,1634,a2567,b1118,feed the fire,promise and the monster,Jan 22 2016,do nothing till you hear from me,the mute gods,Jan 22 2016
1635,1635,a2568,b1103,jesu/sun kil moon,jesu,Jan 22 2016,jesu/sun kil moon,jesu and sun kil moon,Jan 21 2016
1636,1636,a2569,b1106,above the prairie,the pines,Jan 22 2016,a coliseum complex museum,the besnard lakes,Jan 22 2016
1637,1637,a2569,b1118,above the prairie,the pines,Jan 22 2016,do nothing till you hear from me,the mute gods,Jan 22 2016
1638,1638,a257,b930,relatives in descent,protomartyr,Sep 29 2017,the agent intellect,protomartyr,Oct 9 2015
1639,1639,a2571,b2226,purple reign [mixtape],future,Jan 16 2016,future,future,Feb 17 2017
1640,1640,a2571,b2261,purple reign [mixtape],future,Jan 16 2016,hndrxx,future,Feb 24 2017
1641,1641,a2571,b727,purple reign [mixtape],future,Jan 16 2016,ds2,future,Jul 17 2015
1642,1642,a2572,b1092,confessions of a romance novelist,the anchoress,Jan 15 2016,i long to see you,charles lloyd & the marvels,Jan 15 2016
1643,1643,a2572,b1098,confessions of a romance novelist,the anchoress,Jan 15 2016,death of a bachelor,panic! at the disco,Jan 15 2016
1644,1644,a2573,b1092,death of a bachelor,panic! at the disco,Jan 15 2016,i long to see you,charles lloyd & the marvels,Jan 15 2016
1645,1645,a2573,b1098,death of a bachelor,panic! at the disco,Jan 15 2016,death of a bachelor,panic! at the disco,Jan 15 2016
1646,1646,a2575,b1094,not to disappear,daughter,Jan 15 2016,not to disappear,daughter,Jan 15 2016
1647,1647,a2578,b1119,curve of the earth,mystery jets,Jan 15 2016,curve of the earth,mystery jets,Jan 22 2016
1648,1648,a2578,b1719,curve of the earth,mystery jets,Jan 15 2016,the whole earth,mystery jets,Sep 16 2016
1649,1649,a2579,b1088,malibu,anderson paak,Jan 15 2016,malibu,anderson .paak,Jan 15 2016
1650,1650,a2583,b1091,pawn shop,brothers osborne,Jan 15 2016,pawn shop,brothers osborne,Jan 15 2016
1651,1651,a2584,b1101,anarchytecture,skunk anansie,Jan 15 2016,anarchytecture,skunk anansie,Jan 15 2016
1652,1652,a2587,b1092,i long to see you,charles lloyd,Jan 15 2016,i long to see you,charles lloyd & the marvels,Jan 15 2016
1653,1653,a2588,b1096,it's about time,"hank williams, jr.",Jan 15 2016,it's about time,"hank williams, jr.",Jan 15 2016
1654,1654,a2589,b1081,blackstar,david bowie,Jan 8 2016,blackstar,david bowie,Jan 8 2016
1655,1655,a2589,b1733,blackstar,david bowie,Jan 8 2016,who can i be now? (1974–1976),david bowie,Sep 23 2016
1656,1656,a2589,b1934,blackstar,david bowie,Jan 8 2016,bowie legacy,david bowie,Nov 11 2016
1657,1657,a2589,b2046,blackstar,david bowie,Jan 8 2016,no plan,david bowie,Jan 8 2017
1658,1658,a2589,b2579,blackstar,david bowie,Jan 8 2016,cracked actor (live los angeles '74),david bowie,Apr 22 2017
1659,1659,a2590,b1082,leave me alone,hinds,Jan 8 2016,leave me alone,hinds,Jan 8 2016
1660,1660,a2591,b1087,where have you been all my life?,villagers,Jan 8 2016,where have you been all my life?,villagers,Jan 8 2016
1661,1661,a2593,b1079,wildfire,rachel platten,Jan 1 2016,wildfire,rachel platten,Jan 1 2016
1662,1662,a2593,b3109,wildfire,rachel platten,Jan 1 2016,waves,rachel platten,Oct 27 2017
