,Unnamed: 0,_id,ltable_ID,rtable_ID,ltable_Album,ltable_Artist,ltable_Release Date,rtable_Album,rtable_Artist,rtable_Release Date,label
174,174,174,a1475,b1953,say yes!: a tribute to elliott smith,various artists,Oct 14 2016,christmas queens 2,various artists,Nov 11 2016,0
486,486,486,a909,b2438,you only live 2wice,freddie gibbs,Mar 31 2017,you only live 2wice,freddie gibbs,Mar 31 2017,1
39,39,39,a22,b1890,pressure,jeezy,Dec 15 2017,trap or die 3,jeezy,Oct 28 2016,0
193,193,193,a1637,b1679,wild world,bastille,Sep 9 2016,wild world,bastille,Sep 9 2016,1
314,314,314,a2539,b1133,emotional mugger,ty segall,Jan 22 2016,emotional mugger,ty segall,Jan 22 2016,1
396,396,396,a45,b1922,on air,the rolling stones,Dec 1 2017,on air,queen,Nov 4 2016,0
88,88,88,a750,b583,ii,l.a. takedown,May 12 2017,ii,metz,May 4 2015,0
472,472,472,a890,b2508,love in the 4th dimension,the big moon,Apr 7 2017,whiteout conditions,the new pornographers,Apr 7 2017,0
70,70,70,a40,b2613,versatile,van morrison,Dec 1 2017,the authorized bang collection,van morrison,Apr 28 2017,0
87,87,87,a726,b2703,the king & i,faith evans and the notorious b.i.g.,May 19 2017,loopyness,lee burridge and lost desert,May 19 2017,0
292,292,292,a2303,b3178,star wars headspace,various artists,Mar 18 2016,quality control: control the streets volume 1,various artists,Dec 8 2017,0
242,242,242,a199,b3077,masseduction,st. vincent,Oct 13 2017,masseduction,st. vincent,Oct 13 2017,1
277,277,277,a2203,b1336,distortland,the dandy warhols,Apr 8 2016,call it what it is,ben harper & the innocent criminals,Apr 8 2016,0
211,211,211,a1748,b1626,your wilderness,the pineapple thief,Aug 12 2016,home of the strange,young the giant,Aug 12 2016,0
9,9,9,a1280,b2892,the hamilton mixtape,various artists,Dec 2 2016,punk goes pop vol. 7,various artists,Jul 14 2017,0
359,359,359,a2866,b320,trevor jackson presents: science fiction dancehall classics,various artists,Oct 2 2015,i'll be home for christmas,various artists,Nov 24 2014,0
195,195,195,a165,b3178,even a tree can shed tears: japanese folk & rock 1969-1973,various artists,Oct 20 2017,quality control: control the streets volume 1,various artists,Dec 8 2017,0
251,251,251,a2048,b1442,dangerous woman,ariana grande,May 20 2016,dangerous woman,ariana grande,May 20 2016,1
323,323,323,a2589,b1934,blackstar,david bowie,Jan 8 2016,bowie legacy,david bowie,Nov 11 2016,0
192,192,192,a1623,b1710,balance,lorelle meets the obsolete,Sep 16 2016,faithful satellite,the black sorrows,Sep 16 2016,0
117,117,117,a1147,b2167,after the party,the menzingers,Feb 3 2017,after the party,the menzingers,Feb 3 2017,1
47,47,47,a2526,b1142,pillars of ash,black tusk,Jan 29 2016,pillars of ash,black tusk,Jan 29 2016,1
172,172,172,a1457,b1849,gameshow,two door cinema club,Oct 14 2016,gameshow,two door cinema club,Oct 14 2016,1
