,Unnamed: 0,_id,ltable_ID,rtable_ID,ltable_Album,ltable_Artist,ltable_Release Date,rtable_Album,rtable_Artist,rtable_Release Date,label
116,116,116,a1144,b2170,"occult architecture, vol. 1",moon duo,Feb 3 2017,"remember me: essential, vol. 1",rupaul,Feb 3 2017,0
168,168,168,a1454,b1821,ii,the early years,Oct 14 2016,solas,the answer,Oct 14 2016,0
415,415,415,a611,b2817,so you wannabe an outlaw,steve earle & the dukes,Jun 16 2017,the nashville sound,jason isbell and the 400 unit,Jun 16 2017,0
120,120,120,a1183,b294,myths 002 [ep],ariel pink,Jan 27 2017,pom pom,ariel pink,Nov 17 2014,0
261,261,261,a213,b2416,the wild,the rural alberta advantage,Oct 13 2017,the wild,raekwon,Mar 24 2017,0
112,112,112,a1116,b1953,new order presents be music,various artists,Feb 17 2017,christmas queens 2,various artists,Nov 11 2016,0
360,360,360,a287,b3017,thrice woven,wolves in the throne room,Sep 22 2017,music for the age of miracles,the clientele,Sep 22 2017,0
435,435,435,a713,b2698,goths,the mountain goats,May 19 2017,bodyguard,the i.l.y's,May 19 2017,0
282,282,282,a2219,b1345,2,the gloaming,Apr 8 2016,everybody's heart is broken now,niki and the dove,Apr 8 2016,0
136,136,136,a1280,b320,the hamilton mixtape,various artists,Dec 2 2016,i'll be home for christmas,various artists,Nov 24 2014,0
190,190,190,a1607,b868,the  divine feminine,mac miller,Sep 16 2016,go:od am,mac miller,Sep 18 2015,0
347,347,347,a2780,b1057,life,dan friel,Oct 16 2015,life,sigma,Dec 4 2015,0
181,181,181,a151,b289,4eva is a mighty long time,big k.r.i.t.,Oct 27 2017,cadillactica,big k.r.i.t.,Nov 11 2014,0
126,126,126,a1229,b2057,oczy mlody,the flaming lips,Jan 13 2017,oczy mlody,the flaming lips,Jan 13 2017,1
281,281,281,a2219,b1272,2,the gloaming,Apr 8 2016,2,citizen way,Mar 11 2016,0
252,252,252,a2048,b86,dangerous woman,ariana grande,May 20 2016,my everything,ariana grande,Aug 25 2014,0
407,407,407,a570,b803,b-sides and rarities,beach house,Jun 30 2017,depression cherry,beach house,Aug 28 2015,0
393,393,393,a419,b2967,spear in the city,bodies of water,Aug 25 2017,villains,queens of the stone age,Aug 25 2017,0
354,354,354,a283,b3024,music for the age of miracles,the clientele,Sep 22 2017,wonderful wonderful,the killers,Sep 22 2017,0
232,232,232,a187,b3094,a long way from your heart,turnpike troubadours,Oct 20 2017,a long way from your heart,turnpike troubadours,Oct 20 2017,1
133,133,133,a1269,b2108,action time vision: a story of independent u.k. punk 1976-1979 [box set],various artists,Dec 9 2016,"she rocks, vol. 1",various artists,Jan 20 2017,0
33,33,33,a2099,b498,bottomless pit,death grips,May 6 2016,the powers that b,death grips,Mar 31 2015,0
